name,host_id,room_type,price,minimum_nights,number_of_reviews
Gorgeous 2 Bedroom 2 Bath Condo,96590417,Entire home/apt,85,14,19
Hollywood Beach Condo,94973987,Entire home/apt,75,365,0
CASA NAVARRO on Las Olas Isles,79551923,Entire home/apt,879,3,19
Ultimate Tuscan style Retreat for gatherings,96945998,Entire home/apt,3500,1,0
Artistic Zen Florida Home,97008207,Entire home/apt,190,2,73
Very private.Good location.,37934064,Entire home/apt,80,3,55
Lovely pool home in Miramar. Pool is now Heated,70734254,Entire home/apt,250,3,107
Marriott Ft Lauderdale Luxury 2BD villa sleeps 8,19056065,Private room,268,1,44
Marriott Ft Lauderdale Luxury 1BD villa sleeps 4,19056065,Private room,180,1,59
Mark Prince Apt 4 Monthly Rental,41740769,Entire home/apt,53,30,11
POMPANO BEACH FOR 6 GUESTS,11256923,Entire home/apt,145,2,0
Deluxe King Studio,65389940,Private room,155,1,3
WHEN YOU'RE HERE IT'S  ANOTHER DAY IN PARADISE ,95345600,Entire home/apt,150,5,23
South Florida in February -  Studio in Weston,69695870,Hotel room,119,2,1
Luxurious Studio Perfectly Located!,19883342,Entire home/apt,98,500,92
Direct Intracoastal Location Spacious Beach Condo,24661067,Entire home/apt,77,13,15
Home Away from Home,90265208,Private room,100,1,0
Marriott Ft Lauderdale  Luxury Studio sleeps 4,19056065,Private room,150,1,114
Condo Ft Lauderdale * Spectacular view,17298535,Entire home/apt,185,30,7
PRIVATE ROOM for 1 or 2 DIRECTLY ON INTERCOASTAL !,59905183,Private room,95,5,0
Vacation Village at Bonaventure: 2-BR  Sleeps 8,27042710,Entire home/apt,150,7,3
Big Studio  Best of Hollywood  Pet Friendly!!  O6,4610224,Entire home/apt,49,1,100
Giant Master Suite By The Beach (#O1),4610224,Private room,42,1,81
Gorgeous Getaway Close to Beach  Pet friendly!! O2,4610224,Private room,39,1,54
Perfect Cozy Room  (#O3),4610224,Private room,34,1,33
Retreat Close To Beach!  (#O4),4610224,Private room,34,1,31
Pompano Beach Getaway,96277895,Entire home/apt,141,7,74
Audrey Place Unit 2,98207511,Entire home/apt,50,6,32
Audrey Place Unit 3,98207511,Entire home/apt,85,28,5
Audrey Place Unit 1,98207511,Entire home/apt,85,28,3
The Cottage at Audrey Place,98207511,Entire home/apt,135,28,6
Western Broward beauty spot,98419691,Private room,75,1,0
STUNNING VILLA WITH B-BALL CT + OVERSIZED POOL!,29537330,Entire home/apt,1067,3,88
West Broward beauty spot,98419691,Private room,80,2,1
SUNSET APARTMENTS,53592518,Entire home/apt,150,7,0
Quiet Private Room - With Water Views,90265208,Private room,100,1,6
1bedroom1bath with lots of goods,88171521,Private room,117,1,2
Beaches Air&CruisePort Malls Stadium Casino NghtLf,98909290,Entire home/apt,97,2,82
Paradise by the Sea,29238622,Entire home/apt,234,3,29
New Kid on the Block! Modern 1 BD Apt. Near Beach,90822688,Entire home/apt,77,3,23
Welcome to Paradise in Fort Lauderdale Florida,89814814,Entire home/apt,1143,1,18
WONDERFUL REMODELED BEACH FRONT APT!,99084987,Entire home/apt,110,7,6
Limbo Gardens,4475087,Entire home/apt,275,3,100
Studio in Las Olas near Fort Lauderdale Beach,48151099,Entire home/apt,80,5,170
Tropical Dream  private Oasis Walk to Wilton Drive,1557618,Entire home/apt,314,3,60
Private waterfront home with Jacuzzi and Kayaks,71477943,Entire home/apt,124,3,115
630B FLL Studio- 1.5 mi to Beach & Las Olas Blvd,8487141,Entire home/apt,103,1,211
Stunning One Bedroom Unit on Ocean dr.,32802656,Entire home/apt,153,2,17
Private Bedroom  close to Wilton Manors.,99510919,Private room,125,5,0
Beautiful OASIS house 2 miles to the beach,76425762,Entire home/apt,250,4,4
Big backyard for entertaining close to beach  Golf,99625163,Entire home/apt,235,7,27
TROPICAL GARDEN VILLA BY THE SEA  Steps to the Bch,95345600,Entire home/apt,118,3,35
Paris bedroom,31784338,Private room,58,1,19
3/2 Beautiful Pool home 2 miles from Beach,26557549,Entire home/apt,169,5,50
Relaxing two bedroom Apt in a Golf Course and pool,35674019,Entire home/apt,105,15,5
✦✦BEACHFRONT✦✦ Resort in a Studio Suite ☼ 4 POOLS!,62926650,Entire home/apt,144,2,16
1 mille Hollywood beach 1 private Bedroom,100189241,Private room,45,4,50
Comfortable appartment second floor,100189241,Entire home/apt,64,14,24
State of the art condo on the beach ocean view,23417974,Entire home/apt,125,90,1
Great home with magnificent view,100305475,Private room,60,1,67
sorry ! rented,77734969,Entire home/apt,1400,3,0
Pleas'd In Wilton Manors Pool Home 4 Bedroom 3 Ba,12061448,Entire home/apt,335,4,22
Wonderful escape ON the beach  leave your stress!,100441628,Entire home/apt,189,10,1
626A FLL Private Apt.- 1.5 mi to Beach & Las Olas,8487141,Entire home/apt,114,1,206
Casa Mango - Private getaway,81931475,Entire home/apt,336,31,7
Downtown Cozy Loft,35824981,Entire home/apt,95,2,106
New List - River Beach Waterfront Heated Pool Home,100883624,Entire home/apt,194,4,26
Comfortable bedroom with queen bed near the Drive,1433887,Private room,50,2,55
Yael,100912691,Entire home/apt,105,2,0
THE BEST PLACE TO BE ON THE OCEAN,100952229,Entire home/apt,150,30,1
Private Villa Espagna Oasis at Ft Lauderdale Beach,17641570,Entire home/apt,66,2,92
BEACHWALK -2102 Ocean 3BED/3BATH,14310639,Entire home/apt,236,2,50
NEW! Chic Ft. Lauderdale Condo Near FLL & Las Olas,90119256,Entire home/apt,79,1,318
Head West  for  Country Club Living!,20506083,Private room,45,30,2
THE TIDES OCEANFRONT 2/2 ON 9TH FL,2001930,Entire home/apt,215,14,0
Hollywood One Of The Kind Property.,44100387,Entire home/apt,80,3,24
Comfortable Apt at Hallandale with Water View & close to the Beach,35638629,Entire home/apt,104,1,40
TROPICAL GARDEN APARTMENT JUST 2 BLOCKS TO BEACH,95345600,Entire home/apt,155,3,11
3 Br Oceanview apt with Breathtaking Views,5192522,Entire home/apt,200,30,2
TIDES OCEANFRONT 1/1 ON 7TH FLOOR,2001930,Entire home/apt,175,10,0
TROPICAL PARADISE BY THE SEA - WALK TO BEACH,95345600,Entire home/apt,199,5,13
Include parking  cozy,101664225,Private room,30,2,94
Room with private bath by NSU  Davie  FL. Female,32891646,Private room,33,7,7
Spacious Waterfront Guesthouse,101812920,Entire home/apt,115,5,12
Ocean Front Penthouse Condo  Seasonal Rentals,85534457,Entire home/apt,250,90,0
Tides of Hollywood. (Ocean front condo),78128170,Entire home/apt,100,7,2
DREAM BEACH HOUSE! 2BR Next to OCEAN & BOARDWALK!,101987548,Entire home/apt,144,3,105
Luxurious Waterfront Mediterranean Mansion,102065167,Entire home/apt,4250,4,7
Las Olas tropical charmer  privacy and comfort,102139523,Entire home/apt,87,5,105
Quiet and cozy room in Plantation  hi spd int+desk,8185224,Private room,54,20,12
Amazing Duplex in Hallandale,20474214,Entire home/apt,275,6,15
Very cute clean space to relax,101642499,Private room,60,1,4
Fort Lauderdale,68294823,Private room,72,2,202
Luxury Oceanfront Condo with Two Master suites,351303,Entire home/apt,115,30,1
THE TIDES OCEANFRONT 2/2 ON 12TH FL,2001930,Entire home/apt,215,7,0
Waterfront Estate Home East Las Olas Isles,102397728,Private room,134,2,87
Cozy large room with King Size Bed,102410885,Private room,55,1,19
Resort Style Community,77764840,Entire home/apt,108,3,0
E Wilton Manors Ocean /Waterfront/Pool/Boat Oasis!,102433878,Private room,103,2,74
WALK TO HARD ROCK  CHARMING & SECURE COMMUNITY,101496943,Private room,50,1,11
NEAR HARD ROCK IN SAFE & CHARMING COMMUNITY,101496943,Private room,65,2,8
Vacation Village  Suite A ,50322883,Private room,98,7,2
Vacation Village Weston FL -  Suite B ,50322883,Private room,89,7,2
WALK TO HARD ROCK CASINO  SAFE CHARMING COMMUNITY,101496943,Private room,65,3,12
The Best beach block Location in Deerfield Beach!,25965138,Entire home/apt,213,3,27
KING BED  PRIVATE BATH  GATED AREA  NEAR AIRPORT,101496943,Private room,75,1,4
NEAR HARD ROCK IN SAFE & CHARMING COMMUNITY,101496943,Private room,55,1,22
Great place to stay,93339410,Private room,89,3,3
house near Miami/sawgrass mall/BBT,29212764,Entire home/apt,140,2,134
Come To Paradise  Walk 2 Shops  Restaurants  Beach,102837956,Entire home/apt,1081,3,98
plantation townhouse,43698620,Entire home/apt,115,30,0
Comfortable Room!,63417858,Private room,35,1,163
The Dunes Bungalow - the heart of Fort Lauderdale!,103016878,Entire home/apt,129,3,130
2 TWIN OR 1 KING B. OWN ENTRANCE/BATH-3MtoBEACH R3,87107653,Private room,39,2,79
Casa Terra Mar - Beach Club Access & Private Pool!,9443719,Entire home/apt,399,6,5
Enjoy a New Luxury 3Bdr Condo at the Beachwalk,101301047,Entire home/apt,291,4,64
Guest House/Studio/Apartment,103125160,Entire home/apt,80,4,19
Deer Creek- Spacious 2 Bed in Great Gold Community,19414765,Entire home/apt,85,5,30
Waterfront Estate Home in Las Olas Isles,102397728,Private room,112,2,97
Acqua Camino 8,14973726,Entire home/apt,185,7,0
Marriott Beachfront Condo Ft. Lauderdale,55018006,Entire home/apt,425,6,0
Hillsboro Beach Condo,103274788,Entire home/apt,75,14,10
One Mile! from Beach  Las Olas  & Wilton - 1BR/1BA,394991,Entire home/apt,55,3,230
4BR Heated Pool Home w/ Tiki Hut in Heart of FLL!,14501987,Entire home/apt,286,3,51
2-bedroom full apartment  Marriott Beach Place 1,26203496,Private room,650,3,4
Cozy Room  Nice Backyard,44292958,Private room,44,2,138
Cute comfy room in the heart of Ft. Lauderdale,7177574,Private room,49,1,490
Las Olas beauty on the water walk to the beach,884700,Entire home/apt,1028,4,10
Beach Condo - Building is right on the sand!,14112543,Entire home/apt,90,7,52
The Tides  Amazing Apartment on the beach,103564009,Hotel room,144,2,68
YOUR HOME AWAY FROM HOME,103721843,Entire home/apt,280,4,6
Fort Lauderdale Paradise! Walk to Beach & Dwntwn,884700,Entire home/apt,1339,3,33
Key West Style Studio Just steps to the beach,30347538,Entire home/apt,86,1,80
HABITACION EN CASA DE FAMILIA,103968362,Private room,40,1,18
Bohemian Rhapsody,94846229,Private room,89,1,2
Ft Lauderdale Beach - Prime Location w/ (pool),103972085,Entire home/apt,140,14,2
❤️#3: Renovated  Quiet & Clean! Whole place!,4246703,Entire home/apt,58,1,300
Beautiful Hallandale Beach Condo - FREE Parking,13955090,Entire home/apt,79,3,67
Beautiful Direct Ocean Private Beach (2br/2bath),104038593,Entire home/apt,270,4,0
Quiet Neighborhood Home  minutes to the beach,59798820,Entire home/apt,123,4,122
BEST BEACH LOCATION BEST AMENITIES Private Luxury,86876633,Entire home/apt,838,3,16
Pool Bungalow in the Heart of Fort Lauderdale!,103016878,Entire home/apt,164,3,165
Spacious one bed apartment w pool,10669546,Entire home/apt,195,80,0
★1 BD Beach Haven★ Kitchen | Pool | parking,82672177,Entire home/apt,87,1,70
2-bedroom full suite  Marriott Beach Place 2,26203496,Private room,650,3,6
Pool Suite w/ Private Full Bath & Private Entrance,70367502,Private room,149,1,20
Private Quarters 47' Yacht Guest Room/privatebath,104551421,Private room,2000,14,11
Floride CONDO de reve sur la mer a louer,89506915,Entire home/apt,100,15,1
Piso 15L -  Amazing Side Ocean and Bay View,8790381,Entire home/apt,104,4,8
CABANA LODGE 1 @ OASIS,43304588,Private room,89,1,3
Private Room w/ Full Bath. Private Entrance!,70367502,Private room,99,2,50
Palm Room w/ Full Private Bath! Plus Heated Pool!,70367502,Private room,99,2,75
1 Bedroom Apartment King Suite-Beautiful Hollywood,50006959,Private room,85,1,4
Bright Cottage with great location,52814121,Entire home/apt,67,1,346
Luxury Room with Private Full Bath! Heated Pool!,70367502,Private room,99,2,44
Cozy 1 bed in Downtown Hollywood,41695990,Entire home/apt,80,1,0
Private Wilton Manors Apartment w/Private Entry,8688650,Entire home/apt,98,2,57
Private Guesthouse in Victoria Park,21464390,Entire home/apt,135,3,17
Town house in a gated community,104978513,Entire home/apt,266,90,0
Wilton Manors - 4 BED  5 FULL BATHS & HEATED POOL,70367502,Entire home/apt,417,3,71
Ocean Front -Tides at Hollywood Beach,46411263,Entire home/apt,90,1,25
Strictly cleaned 1 bedroom apartment,57414616,Entire home/apt,99,4,24
EXTRAORDINARYBeach Resort  location  amenities BIG,86876633,Entire home/apt,838,3,32
ON THE  B.E.A.C.H.  Amazing views. Renovated   Wow,58240884,Entire home/apt,267,1,147
Piano House on the Water (Las Olas),48151099,Entire home/apt,209,2,64
Large studio Hollywood Beach - Monthly rentals,21922944,Entire home/apt,59,30,1
Modern Townhome with Pool - Walk to Beach,104693659,Entire home/apt,208,2,33
Between Ft. Laud. & Miami. The best of both!,105550230,Entire home/apt,50,3,98
Luxe 3 BR Beach Home! Heated Pool & Spa-Top Rated!,61569740,Entire home/apt,367,2,141
Superior home | HEATED POOL| 1.5 miles from Beach,73024783,Entire home/apt,356,5,41
"LUXE BEACH HUGE HOME
2Br/2Bth
SOUTH LAKE
BEACH",90872628,Entire home/apt,246,1,45
Parkland Queen Size Bed  Share Bath,105833108,Private room,39,1,184
BeachWalk Apartment  2 Bedrooms 2 Baths  Hollywood,95908526,Entire home/apt,181,1,12
Comfy bed!!! Hostel Style,103610385,Shared room,13,1,146
Incredible and Bright 2/1,49193805,Entire home/apt,172,5,3
BEAUTIFUL 2 + DEN FAMILY HOUSE IN HOLLYWOOD FL,2001930,Entire home/apt,89,10,2
Covid Free Shared Room,103610385,Shared room,12,1,87
1 Bedroom Apartment King Suite-Come Relax with Us,50006959,Entire home/apt,88,1,9
Comfy bed Hostel Style Near Everything,103610385,Shared room,13,1,85
Comfy Bed & Near Everything-Recent Openings!,103610385,Shared room,12,1,63
Elegant Queen Bedroom in Parkland with Shared Bath,105833108,Private room,40,1,163
East Ft Laud Waterfront Pool Oasis/ Foodie Heaven!,102433878,Private room,108,2,39
BeachWalk Standard Room  Hollywood Beach,95908526,Hotel room,89,1,10
BeachWalk Resort Apartment One Bedroom One Bath,95908526,Hotel room,136,1,11
BEACHWALK -2802 OCEAN 3 Bedrooms / 3 Bathrooms,14310639,Entire home/apt,259,2,34
BEACHWALK 2008  N.View 2BED/2BATH,14310639,Entire home/apt,135,2,12
Sky High Bungalow - One Block from Boardwalk!,104693659,Entire home/apt,79,2,20
Cool Tide Bungalow - One Block from Boardwalk!,104693659,Entire home/apt,79,2,35
Limescape Bungalow - One Block from Boardwalk!,104693659,Entire home/apt,79,2,21
NEXT APARTMENTS Close to the beach  #203,49213071,Entire home/apt,69,2,104
BTSVV’S SBV37-3/3-1 MILE TO BEACH. Pool Closed,42613715,Entire home/apt,159,7,23
Chic & Contemporary Pool Home in the Heart of FLL!,14501987,Entire home/apt,257,3,38
Beach Bungalow-PVT Studio w/bath 1.5 blocks to bch,103169200,Entire home/apt,71,2,124
Waterfront-Sleeps 6- Paddle boards+Kayaks+Bikes,128242397,Entire home/apt,175,2,35
Holiday Oasis Resort-Blue,106649416,Private room,69,2,64
Hawks Nest D,49193805,Entire home/apt,139,5,2
Tropical Sea Breeze,49193805,Entire home/apt,211,5,4
Luxe Townhome with Chef's Kitchen - Steps to Beach,104693659,Entire home/apt,396,4,32
Key West Style Studio Apt. Just steps to the beach,30347538,Entire home/apt,86,2,29
Few minutes to the beach  resturants  and  shops,104908087,Entire home/apt,175,2,95
1 Bedroom Apartment King Suite - Tranquility,50006959,Entire home/apt,88,1,9
Two Bedrooms Apartment Kings Suite - Fun time,50006959,Entire home/apt,260,1,7
One Bedroom Apartment King Suite - Comfortable,50006959,Entire home/apt,120,1,16
Efficiency - Lovely and comfortable,50006959,Entire home/apt,78,1,31
Ft Lauderdale - relaxing retreat in great location,98445837,Entire home/apt,350,7,2
LUXURY FAMILY VILLA,50211462,Entire home/apt,443,1,90
Hibiscus By the Sea Villa,38781529,Entire home/apt,520,2,41
Luxury Resort 1Bdrm  1.5 Bath Suite on the  Beach,106754265,Entire home/apt,275,6,36
Hollywood Gem Two Blocks from the Beach!,35968130,Entire home/apt,389,3,13
Comfortable Large Studio Hollywood Beach,107275493,Entire home/apt,75,6,7
SEAHORSE VILLA with private outdoor HEATED pool,71683763,Entire home/apt,205,3,73
The Oasis @ Hollywood  FL. 3 Miles to the beach!!,50476783,Entire home/apt,212,2,168
Beach Villa House on Ocean Drive,45847104,Entire home/apt,150,3,56
Come to stay by the Ocean! J,29415440,Entire home/apt,175,2,12
Endless Summer Vibe Las Olas House,85854794,Entire home/apt,250,3,106
Comfortable Home Hallandale Beach Place,105157278,Entire home/apt,115,2,12
Nice apartment across from the beach,9632981,Entire home/apt,115,10,0
Clean Upscale Best Location-2 Bedroom PrivateSuite,29878871,Entire home/apt,149,2,28
1 Bedroom King luxury Suite-Enjoy the Comfort,50006959,Entire home/apt,140,1,10
2223 2  Heart of Downtown Duplex On Of The Kind,44100387,Entire home/apt,80,3,18
2 bed/2 bath lux condo for sublease,107394161,Entire home/apt,68,120,1
Lindo apartamento en Hallandale,91301705,Entire home/apt,115,1,2
Beachwalk Resort - Lavish & Charming 3/3 Condo,93012131,Hotel room,285,3,32
New Years Beach Getaway!,107786219,Private room,125,3,6
Oceanfront luxurious condo!,5643562,Entire home/apt,186,3,28
New Studio on the Beach in Fort Lauderdale,27216996,Entire home/apt,74,4,27
Just a few minutes to the beach with Heated pool,104908087,Entire home/apt,85,2,100
The Little Ranch close to the beach,44881861,Entire home/apt,175,4,117
Holiday Oasis Resort-Green,106649416,Private room,69,2,36
Cozy Beach Apt  Las Olas Blvd.,108186866,Entire home/apt,91,1,154
Beach Apt. with Waterview in Las Olas Blvd.,108186866,Entire home/apt,97,1,159
Cozy Beachside Studio Remodeled,108208737,Entire home/apt,110,7,2
Dual Art Deco Beach Bungalows - Walk to Beach,104693659,Entire home/apt,330,2,11
Hide  Beach 4111 s ocean dr,12878437,Entire home/apt,165,3,5
BEACHWALK -2202 Ocean 3BED/3BATH,14310639,Entire home/apt,243,2,51
Luxury South Florida Beachwalk Resort 2BR Suite,18228002,Entire home/apt,395,5,0
Great vacation place with  an amazing view,50828435,Entire home/apt,165,3,6
2BR Miami Great SouthBayView  +7Floor Full Kitchen,1833853,Entire home/apt,167,3,16
Waterways 1930’s Condo- Hollywood Beach,873551,Entire home/apt,130,4,1
1 Bedroom Studio King Suite - Relaxation,50006959,Entire home/apt,140,1,2
1 Bedroom Studio Queen Suite - Be Amazed,50006959,Private room,180,1,18
Floatel - all inclusive Houseboat Experience!,46584924,Entire home/apt,250,1,22
Come enjoy the beach.,108627610,Private room,76,30,2
Tropical Paradise II,16931093,Entire home/apt,90,3,137
Premium One Bedroom Apartment with Full Kitchen,1833853,Entire home/apt,199,3,11
41a Sea&I Private House in Distinctive Boutique,58759792,Entire home/apt,99,2,83
Sky Islands Beach Motel,58926872,Private room,110,1,1
The Hollywood 6 Beachfront Apartment - Unit 6,109019699,Entire home/apt,169,2,64
Modern Townhome | Private Pool | Close To Beach,109042772,Entire home/apt,204,30,4
Large Private Bed/Bath Beautiful Deerfield Beach.,106071591,Private room,42,2,4
ATLANTIC DREAMIN BEACH E.Duplex,109060850,Entire home/apt,350,30,12
Sea Gardens  Frt Ldl  FL  Studio Deluxe #1,10981379,Entire home/apt,143,2,2
Sea Gardens  Frt Ldl  FL  Studio Deluxe #2,10981379,Entire home/apt,143,2,0
1 Bedroom Studio  SLEEPS 6!  steps to ocean/bars,109193262,Private room,159,2,0
Cozy home near the beach,39646463,Private room,46,2,136
Modern 3BR/2BA Family Home in South Florida,6802353,Entire home/apt,117,3,141
Spacious room in cozy  quiet house,96312723,Private room,35,1,14
Royal Palms Resort-One Bedroom King I + Sofabed,14324932,Private room,158,28,15
Royal Palms Resort-One Bedroom King II + Sofabed,14324932,Private room,153,28,25
Mizner Place: 1-BR Type B  Sleeps 4  Kitchen,27042710,Entire home/apt,95,4,2
Mizner Place at Weston Town Center: 2-BR  Sleeps 8,27042710,Entire home/apt,175,7,2
Enjoy an amazing place with amazing views,29415440,Entire home/apt,190,2,7
Renovated Condo in 55+ complex in Ft. Lauderdale,34283232,Entire home/apt,60,4,1
Hollywood  Hostel Style Airbnb,103610385,Shared room,13,1,67
Parkland Garden View  with Queen Bed  Private Bath,105833108,Private room,46,1,192
Totally Renovated Studio apartment close to Beach,73172586,Entire home/apt,85,3,87
Enchanting 4/3.5 Double Story,49193805,Entire home/apt,350,5,1
Cozy Bedroom | 10 minutes from Super Bowl,4744761,Private room,157,1,1
🥇Victoria Park #4 ~KING~ Las Olas - Beach - Dtown,15735415,Entire home/apt,79,1,26
Suite 5 Minutes From Beach in Fort Lauderdale,18165667,Entire home/apt,76,2,82
Cozy Room in Waterfront Home,40304535,Private room,150,2,29
Beautiful Studio Minutes from Beach and Airport,110081386,Entire home/apt,69,10,60
Pompano Beach: Palm-Aire-2bdrm suite,73776383,Entire home/apt,99,2,0
Amazing condo available for your dream vacations.,110152379,Entire home/apt,71,29,14
short block to ocean #101,110164788,Entire home/apt,50,7,0
Paradise Suite,91990580,Entire home/apt,59,1,257
Great home for vacation or affaire.,110224419,Private room,80,1,0
Chic Family Retreat 3/1  Pool Home 15 Min to Beach,12061448,Entire home/apt,190,4,62
Beautiful and comfortable bedroom,69356856,Private room,65,2,129
Private Small entire place For two.,62586675,Entire home/apt,70,1,116
Hollywood  FL Enchanted Isle Resort  On the Beach,110292628,Entire home/apt,118,7,4
Modern House in Las Olas,48151099,Entire home/apt,237,2,46
Clean private  cozy studio perfect location,110465329,Entire home/apt,55,3,22
BeachWalk Condo with Beach Club  Spectacular view!,100352851,Entire home/apt,130,5,14
Absolutely the BEST...Location..Residence.. Beach,86876633,Entire home/apt,842,3,30
BEACHWALK  Beautiful Studio  Beach CLUB!!!,100352851,Entire home/apt,70,3,1
Key West Style Apt Kitchen Just Steps to Beach,30347538,Entire home/apt,94,4,50
Key West Style Apartment near a secluded beach,30347538,Entire home/apt,139,3,34
Key West Style Apt Just steps to the beach,30347538,Entire home/apt,96,4,54
Hollywood  Florida Home,109528098,Entire home/apt,350,3,11
Oceanfront condo in Hollywood Florida,6912434,Entire home/apt,105,14,6
Holiday Oasis Resort-Red,106649416,Private room,69,2,32
Large Room in Beautiful Townho,110978104,Private room,75,3,1
BTSVV’S OCEAN 79-4/4 BCH ACROSS STREET-Pool closed,42613715,Entire home/apt,254,7,53
Private Room & Bathroom Near HR Stm Airport&Beach,30230741,Private room,60,2,19
Cozy Spacious Studio Renovated Deerfield Beach /#4,85729695,Entire home/apt,57,1,69
Beautiful apartment with Excellent bright spaces/3,85729695,Entire home/apt,89,21,33
Walk to the Beach  Relax and enjoy white sands./#6,85729695,Entire home/apt,83,1,61
Condo Sian4001 sobre la playa con pool+gym,103461129,Entire home/apt,100,4,58
1/1 IN THE HEART OF DEERFIELD BEACH!!!,165409205,Entire home/apt,106,3,112
Art Deco Beach Bungalows - Walk to Hollywood Beach,104693659,Entire home/apt,346,2,4
Privet apartment  Close to the beach #204,49213071,Entire home/apt,74,2,102
Beach at your Feet from a Luxury Apt *****,111579890,Entire home/apt,88,3,133
Gorgeous Oceanview Beach 2/2 Comfortable Apartment,20585053,Entire home/apt,119,5,46
Appartment cross the street from the beach,31880661,Entire home/apt,110,7,16
Spacious Private Room with Canal Views near Miami,20240198,Private room,45,1,157
Fully Furnished Condo  Direct Access to Beach,905561,Entire home/apt,94,4,13
Simplicity,28978701,Private room,99,1,1
Tropical escape  private pool home!,111930567,Entire home/apt,191,5,35
Villa Contentment in East Ft. Lauderdale  FL,18117552,Entire home/apt,125,30,0
Worldmark Palm Aire 2 bedroom,109904033,Entire home/apt,153,3,8
Townhouse,106918369,Entire home/apt,140,300,2
HUGE LAKE VIEW MASTER BDRM  (sleeps 2) near weston,104917254,Private room,99,30,0
ATLANTIC DREAMIN BEACH WEST DUPLEX,109060850,Entire home/apt,304,30,13
Chic Island Villa Heated Pool 5Min-Beach-Shop-Golf,35424977,Entire home/apt,235,3,67
INTRACOASTAL MANSION  Pool  Hot Tub  Paddle Boards,112867074,Entire home/apt,810,7,15
Pearl of Ft. Lauderdale - Luxury 5 Bedroom,112867074,Entire home/apt,872,7,6
Waterfront Paradise,84967298,Entire home/apt,260,4,3
Deerfield Beach 1/1 Condo - WiFi - TV - W/D,111192580,Entire home/apt,95,4,7
5 Bedroom Private Waterfront Home  Pool  Bicycles,112867074,Entire home/apt,273,7,20
Coral Ridge Isles Beauty - Waterfront w/Pool,112867074,Entire home/apt,241,7,6
Botanical Waterfront Paradise - 4 Bedroom w/Pool,112867074,Entire home/apt,416,5,17
Located in the heart of south fl,94962029,Entire home/apt,99,90,1
Luxury Modern Townhome  with Spa and Gym  Beach,112867074,Entire home/apt,271,7,32
Private Waterfront Home w/Pool,112867074,Entire home/apt,242,7,9
Pompano Beach Hacienda - 2 Bedroom Waterfront Pool,112867074,Entire home/apt,216,7,8
Lighthouse Point Family Retreat - Family Home,112867074,Entire home/apt,220,7,13
Private Backyard Pool Area  Short Walk to Beach,112867074,Entire home/apt,246,7,9
2BR Villa steps to Beach. Safety Protocols  Reno'd,23429892,Entire home/apt,175,5,38
Hemingway Condo - Sunset view and two blocks beach,112867074,Entire home/apt,196,7,1
2 Blocks from Beach  Patio level access to pool,112867074,Entire home/apt,167,7,8
Hemingway Penthouse South - Two Blocks from Beach,112867074,Entire home/apt,199,7,8
Aqua Vista - Modern Waterfront Home w/Pool,112867074,Entire home/apt,277,7,14
Deerfield Surfside - Large Private Backyard w/Pool,112867074,Entire home/apt,220,7,6
Double King Studio - Steps from the Beach! (2K),113295744,Private room,139,1,58
Wyndham Palm Aire 1 Bedroom,109904033,Entire home/apt,136,3,0
Wyndham Sea Gardens Studio,109904033,Entire home/apt,123,3,2
2 blocks to the beach*Dock*Ocean Access*Pool*Grill,80444918,Entire home/apt,228,1,156
Sun & Moon Rise at Ocean front PH,11068214,Entire home/apt,150,7,16
Deerfield Floresta Beauty - Perfect for Families,112867074,Entire home/apt,214,7,11
BEACH CLUB ON THE BEACH 5-STAR 3/3,2001930,Entire home/apt,475,25,0
Steps From The Beach / #8B,85729695,Entire home/apt,92,30,10
Sea Steps Suites - 2 BR Rooms w Kitchenette 6/7,6683557,Private room,300,1,4
Private BR with tiki bar,63675237,Private room,125,1,11
Beach Block Bungalow  Clean  safe and cozy. A1,25965138,Entire home/apt,169,3,18
Lovely home in Wilton Manors ***** close to all!,65806840,Entire home/apt,76,3,136
Hyde Resort Amazing Views 1 bedroom hight floor,65053328,Entire home/apt,186,2,39
Deerfield Beach Tropical Oasis - Waterfront/Pool,112867074,Entire home/apt,268,7,16
King Studio - Directly Across the Beach! (K),113295744,Private room,116,1,145
Private Dorm/Bunk Room - Across the Ocean!,113295744,Private room,87,1,5
Ocean View Room - Right Across the Beach!,113295744,Private room,173,1,41
Room in Fort Lauderdale,5514632,Private room,39,1,3
Wyndham Palm Aire 2 bedroom,109904033,Private room,180,3,1
Very bright and big apartments,29252836,Entire home/apt,150,90,0
Relax and walk to the Beach and the intercoastal,85729695,Entire home/apt,78,1,38
Modern  Renovated Villa  Pool and Close to Beach,112867074,Entire home/apt,226,7,19
LUXURY ❤️ 2BR - Beachfront - 4 Pools - 2 Hot Tubs,62926650,Hotel room,270,2,2
Two floor 1 bedroom apartment steps from the ocean,107275493,Entire home/apt,131,2,0
❋ 4 POOLS ❋ 2 HOT TUBS ❋ & TIKI BAR ❋ Studio ❋,62926650,Entire home/apt,144,2,1
Coral Reef Villa,38781529,Entire home/apt,415,2,21
Tradewinds II,114081913,Private room,350,4,0
Sunny apt with Pool and a view.,5334913,Entire home/apt,93,2,27
STYLISH & UNIQUE 1 BR DESIGNER WATERVIEW APT,45914148,Entire home/apt,78,1,127
Cozy 2-Bedroom Condo w/Great Amenities,27496615,Entire home/apt,70,90,0
Fort Lauderdale Yacht and Beach Club 416,38781529,Entire home/apt,193,2,12
